Quality;Top;High;Mid;Low;NA;???;Total
FA;0;8;17;17;0;0;42
FL;0;0;0;5;0;0;5
GA;6;31;53;90;0;2;182
B;40;193;313;506;0;65;1.117
C;27;354;684;1.437;0;343;2.845
Start;20;366;1.248;3.868;2;1.582;7.086
Stub;0;74;599;4.088;0;1.188;5.949
List;1;38;87;122;0;31;279
Category;0;0;6;2;4.159;0;4.167
Disambig;0;0;0;0;69;0;69
File;0;0;0;0;257;0;257
Portal;0;0;0;0;105;0;105
Project;0;0;0;0;192;0;192
Redirect;0;0;0;6;796;0;802
Template;0;1;1;1;338;0;341
Other;0;0;0;0;97;0;97
Assessed;94;1.065;3.008;10.142;6.015;3.211;23.535
Unassessed;0;0;0;2;0;71;73
