"DateTime","Embodied cognition[en]","Cognitive science[en]","Cognition[en]"
"2008-01-01 00:00:00",12,426,612
"2008-01-02 00:00:00",4,600,1147
"2008-01-03 00:00:00",4,641,1256
"2008-01-04 00:00:00",14,627,1197
"2008-01-05 00:00:00",7,521,864
"2008-01-06 00:00:00",5,548,1054
"2008-01-07 00:00:00",3,796,1457
"2008-01-08 00:00:00",6,872,1690
"2008-01-09 00:00:00",6,881,1623
"2008-01-10 00:00:00",5,830,1724
"2008-01-11 00:00:00",4,834,1667
"2008-01-12 00:00:00",3,625,1162
"2008-01-13 00:00:00",3,637,1347
"2008-01-14 00:00:00",13,856,1841
"2008-01-15 00:00:00",11,944,1768
"2008-01-16 00:00:00",17,850,1795
"2008-01-17 00:00:00",11,859,1785
"2008-01-18 00:00:00",9,724,1477
"2008-01-19 00:00:00",9,533,1135
"2008-01-20 00:00:00",8,624,2313
"2008-01-21 00:00:00",12,837,1693
"2008-01-22 00:00:00",21,928,1737
"2008-01-23 00:00:00",8,806,1977
"2008-01-24 00:00:00",9,878,2068
"2008-01-25 00:00:00",11,807,1717
"2008-01-26 00:00:00",4,575,1251
"2008-01-27 00:00:00",5,634,1400
"2008-01-28 00:00:00",10,941,2012
"2008-01-29 00:00:00",12,961,2061
"2008-01-30 00:00:00",5,981,2190
"2008-01-31 00:00:00",11,943,2144
"2008-02-01 00:00:00",8,819,1735
"2008-02-02 00:00:00",3,573,1183
"2008-02-03 00:00:00",7,641,1425
"2008-02-04 00:00:00",24,832,1931
"2008-02-05 00:00:00",6,953,2191
"2008-02-06 00:00:00",18,870,2141
"2008-02-07 00:00:00",3,882,2061
"2008-02-08 00:00:00",6,748,1793
"2008-02-09 00:00:00",3,551,1131
"2008-02-10 00:00:00",9,643,1451
"2008-02-11 00:00:00",16,960,2096
"2008-02-12 00:00:00",13,911,1964
"2008-02-13 00:00:00",15,898,1986
"2008-02-14 00:00:00",9,865,1773
"2008-02-15 00:00:00",9,826,1604
"2008-02-16 00:00:00",9,578,1225
"2008-02-17 00:00:00",10,666,1359
"2008-02-18 00:00:00",6,942,2175
"2008-02-19 00:00:00",31,988,2288
"2008-02-20 00:00:00",17,1018,2320
"2008-02-21 00:00:00",21,958,2281
"2008-02-22 00:00:00",6,749,1886
"2008-02-23 00:00:00",7,592,1293
"2008-02-24 00:00:00",13,657,1598
"2008-02-25 00:00:00",11,931,2420
"2008-02-26 00:00:00",4,912,2377
"2008-02-27 00:00:00",8,946,2335
"2008-02-28 00:00:00",5,999,2236
"2008-02-29 00:00:00",7,844,1890
"2008-03-01 00:00:00",8,641,1349
"2008-03-02 00:00:00",5,634,1502
"2008-03-03 00:00:00",5,674,1385
"2008-03-04 00:00:00",10,377,842
"2008-03-05 00:00:00",11,942,2358
"2008-03-06 00:00:00",11,932,2274
"2008-03-07 00:00:00",8,722,1868
"2008-03-08 00:00:00",5,628,1269
"2008-03-09 00:00:00",7,727,1704
"2008-03-10 00:00:00",7,980,2401
"2008-03-11 00:00:00",12,910,2398
"2008-03-12 00:00:00",9,927,2443
"2008-03-13 00:00:00",8,883,2218
"2008-03-14 00:00:00",7,780,1979
"2008-03-15 00:00:00",5,554,1255
"2008-03-16 00:00:00",9,676,1600
"2008-03-17 00:00:00",11,873,2276
"2008-03-18 00:00:00",5,799,2088
"2008-03-19 00:00:00",9,1024,2159
"2008-03-20 00:00:00",17,782,1943
"2008-03-21 00:00:00",9,501,1362
"2008-03-22 00:00:00",7,557,1239
"2008-03-23 00:00:00",8,538,1282
"2008-03-24 00:00:00",7,784,2123
"2008-03-25 00:00:00",13,807,2211
"2008-03-26 00:00:00",10,727,2347
"2008-03-27 00:00:00",9,698,2501
"2008-03-28 00:00:00",9,657,2075
"2008-03-29 00:00:00",8,526,1367
"2008-03-30 00:00:00",8,632,1757
"2008-03-31 00:00:00",11,786,2411
"2008-04-01 00:00:00",5,856,2436
"2008-04-02 00:00:00",9,758,2434
"2008-04-03 00:00:00",11,650,2402
"2008-04-04 00:00:00",8,717,1951
"2008-04-05 00:00:00",10,551,1340
"2008-04-06 00:00:00",5,710,1771
"2008-04-07 00:00:00",13,875,2640
"2008-04-08 00:00:00",9,859,2771
"2008-04-09 00:00:00",8,920,2678
"2008-04-10 00:00:00",7,801,2649
"2008-04-11 00:00:00",10,802,2048
"2008-04-12 00:00:00",4,558,1516
"2008-04-13 00:00:00",8,637,1962
"2008-04-14 00:00:00",12,933,2922
"2008-04-15 00:00:00",13,885,2702
"2008-04-16 00:00:00",10,917,2706
"2008-04-17 00:00:00",7,903,2612
"2008-04-18 00:00:00",22,706,1970
"2008-04-19 00:00:00",7,615,1429
"2008-04-20 00:00:00",7,703,1825
"2008-04-21 00:00:00",25,948,2911
"2008-04-22 00:00:00",9,832,2796
"2008-04-23 00:00:00",5,754,2636
"2008-04-24 00:00:00",6,853,2554
"2008-04-25 00:00:00",15,761,2215
"2008-04-26 00:00:00",6,515,1468
"2008-04-27 00:00:00",7,607,1840
"2008-04-28 00:00:00",11,799,2681
"2008-04-29 00:00:00",13,872,2648
"2008-04-30 00:00:00",17,764,2559
"2008-05-01 00:00:00",10,837,2496
"2008-05-02 00:00:00",11,747,1877
"2008-05-03 00:00:00",3,606,1469
"2008-05-04 00:00:00",7,550,1572
"2008-05-05 00:00:00",6,868,2536
"2008-05-06 00:00:00",17,932,2661
"2008-05-07 00:00:00",15,790,2679
"2008-05-08 00:00:00",8,735,2444
"2008-05-09 00:00:00",10,758,1979
"2008-05-10 00:00:00",10,532,1375
"2008-05-11 00:00:00",9,563,1584
"2008-05-12 00:00:00",8,722,2461
"2008-05-13 00:00:00",18,755,2657
"2008-05-14 00:00:00",11,822,2399
"2008-05-15 00:00:00",20,781,2196
"2008-05-16 00:00:00",4,693,1969
"2008-05-17 00:00:00",4,523,1349
"2008-05-18 00:00:00",12,577,1593
"2008-05-19 00:00:00",20,676,2186
"2008-05-20 00:00:00",39,850,2484
"2008-05-21 00:00:00",27,734,2038
"2008-05-22 00:00:00",39,714,2356
"2008-05-23 00:00:00",29,630,1716
"2008-05-24 00:00:00",25,464,1160
"2008-05-25 00:00:00",24,484,1345
"2008-05-26 00:00:00",39,655,1767
"2008-05-27 00:00:00",28,717,2230
"2008-05-28 00:00:00",43,834,2088
"2008-05-29 00:00:00",31,681,2035
"2008-05-30 00:00:00",29,599,1640
"2008-05-31 00:00:00",23,441,1345
"2008-06-01 00:00:00",22,611,1468
"2008-06-02 00:00:00",20,784,2153
"2008-06-03 00:00:00",19,902,1927
"2008-06-04 00:00:00",37,651,2112
"2008-06-05 00:00:00",22,748,2070
"2008-06-06 00:00:00",31,536,1677
"2008-06-07 00:00:00",21,473,1140
"2008-06-08 00:00:00",16,544,1432
"2008-06-09 00:00:00",31,722,2022
"2008-06-10 00:00:00",20,794,2120
"2008-06-11 00:00:00",29,725,2066
"2008-06-12 00:00:00",40,757,2043
"2008-06-13 00:00:00",24,714,1604
"2008-06-14 00:00:00",16,482,1233
"2008-06-15 00:00:00",22,609,1510
"2008-06-16 00:00:00",20,730,2201
"2008-06-17 00:00:00",27,793,2279
"2008-06-18 00:00:00",20,891,2034
"2008-06-19 00:00:00",25,742,1996
"2008-06-20 00:00:00",42,655,1702
"2008-06-21 00:00:00",36,531,1244
"2008-06-22 00:00:00",18,531,1303
"2008-06-23 00:00:00",21,804,1920
"2008-06-24 00:00:00",26,862,2034
"2008-06-25 00:00:00",24,755,1972
"2008-06-26 00:00:00",21,744,1864
"2008-06-27 00:00:00",26,609,1513
"2008-06-28 00:00:00",16,432,1087
"2008-06-29 00:00:00",18,549,1311
"2008-06-30 00:00:00",20,680,1394
"2008-07-01 00:00:00",22,780,1030
"2008-07-02 00:00:00",24,741,1519
"2008-07-03 00:00:00",20,742,1643
"2008-07-04 00:00:00",17,611,935
"2008-07-05 00:00:00",14,463,930
"2008-07-06 00:00:00",21,541,1239
"2008-07-07 00:00:00",20,801,1810
"2008-07-08 00:00:00",24,656,1772
"2008-07-09 00:00:00",10,698,1688
"2008-07-10 00:00:00",12,696,1600
"2008-07-11 00:00:00",28,527,1491
"2008-07-12 00:00:00",23,442,1033
"2008-07-13 00:00:00",23,441,1197
"2008-07-14 00:00:00",25,671,1760
"2008-07-15 00:00:00",11,607,1787
"2008-07-16 00:00:00",19,624,1780
"2008-07-17 00:00:00",20,583,1674
"2008-07-18 00:00:00",17,582,1547
"2008-07-19 00:00:00",14,383,1157
"2008-07-20 00:00:00",23,472,1152
"2008-07-21 00:00:00",30,704,1642
"2008-07-22 00:00:00",17,674,1845
"2008-07-23 00:00:00",19,722,2012
"2008-07-24 00:00:00",17,605,1863
"2008-07-25 00:00:00",31,581,1534
"2008-07-26 00:00:00",9,443,1076
"2008-07-27 00:00:00",13,516,1212
"2008-07-28 00:00:00",34,708,1775
"2008-07-29 00:00:00",32,755,1973
"2008-07-30 00:00:00",34,607,2053
"2008-07-31 00:00:00",25,612,1872
"2008-08-01 00:00:00",18,553,1411
"2008-08-02 00:00:00",24,569,1162
"2008-08-03 00:00:00",6,499,1148
"2008-08-04 00:00:00",33,571,1627
"2008-08-05 00:00:00",19,716,1804
"2008-08-06 00:00:00",23,628,1632
"2008-08-07 00:00:00",20,671,1778
"2008-08-08 00:00:00",19,545,1448
"2008-08-09 00:00:00",19,408,986
"2008-08-10 00:00:00",21,513,469
"2008-08-11 00:00:00",15,670,782
"2008-08-12 00:00:00",28,622,801
"2008-08-13 00:00:00",17,675,908
"2008-08-14 00:00:00",24,569,855
"2008-08-15 00:00:00",26,538,1283
"2008-08-16 00:00:00",24,437,1039
"2008-08-17 00:00:00",22,486,1195
"2008-08-18 00:00:00",43,697,1867
"2008-08-19 00:00:00",31,738,1784
"2008-08-20 00:00:00",24,625,1467
"2008-08-21 00:00:00",27,644,1812
"2008-08-22 00:00:00",32,618,1642
"2008-08-23 00:00:00",23,436,1095
"2008-08-24 00:00:00",33,484,1317
"2008-08-25 00:00:00",41,710,1974
"2008-08-26 00:00:00",43,717,2175
"2008-08-27 00:00:00",19,715,2295
"2008-08-28 00:00:00",20,788,2256
