"DateTime","Embodied cognition[en]","Cognitive science[en]","Mind[en]","Cognition[en]"
"2008-01-01 00:00:00",12,426,439,612
"2008-01-02 00:00:00",4,600,660,1147
"2008-01-03 00:00:00",4,641,663,1256
"2008-01-04 00:00:00",14,627,672,1197
"2008-01-05 00:00:00",7,521,535,864
"2008-01-06 00:00:00",5,548,653,1054
"2008-01-07 00:00:00",3,796,734,1457
"2008-01-08 00:00:00",6,872,722,1690
"2008-01-09 00:00:00",6,881,800,1623
"2008-01-10 00:00:00",5,830,782,1724
"2008-01-11 00:00:00",4,834,805,1667
"2008-01-12 00:00:00",3,625,596,1162
"2008-01-13 00:00:00",3,637,644,1347
"2008-01-14 00:00:00",13,856,788,1841
"2008-01-15 00:00:00",11,944,828,1768
"2008-01-16 00:00:00",17,850,802,1795
"2008-01-17 00:00:00",11,859,765,1785
"2008-01-18 00:00:00",9,724,803,1477
"2008-01-19 00:00:00",9,533,576,1135
"2008-01-20 00:00:00",8,624,596,2313
"2008-01-21 00:00:00",12,837,805,1693
"2008-01-22 00:00:00",21,928,795,1737
"2008-01-23 00:00:00",8,806,762,1977
"2008-01-24 00:00:00",9,878,893,2068
"2008-01-25 00:00:00",11,807,772,1717
"2008-01-26 00:00:00",4,575,556,1251
"2008-01-27 00:00:00",5,634,620,1400
"2008-01-28 00:00:00",10,941,822,2012
"2008-01-29 00:00:00",12,961,787,2061
"2008-01-30 00:00:00",5,981,815,2190
"2008-01-31 00:00:00",11,943,820,2144
"2008-02-01 00:00:00",8,819,810,1735
"2008-02-02 00:00:00",3,573,569,1183
"2008-02-03 00:00:00",7,641,729,1425
"2008-02-04 00:00:00",24,832,758,1931
"2008-02-05 00:00:00",6,953,827,2191
"2008-02-06 00:00:00",18,870,772,2141
"2008-02-07 00:00:00",3,882,797,2061
"2008-02-08 00:00:00",6,748,796,1793
"2008-02-09 00:00:00",3,551,623,1131
"2008-02-10 00:00:00",9,643,686,1451
"2008-02-11 00:00:00",16,960,812,2096
"2008-02-12 00:00:00",13,911,827,1964
"2008-02-13 00:00:00",15,898,826,1986
"2008-02-14 00:00:00",9,865,772,1773
"2008-02-15 00:00:00",9,826,732,1604
"2008-02-16 00:00:00",9,578,656,1225
"2008-02-17 00:00:00",10,666,658,1359
"2008-02-18 00:00:00",6,942,793,2175
"2008-02-19 00:00:00",31,988,831,2288
"2008-02-20 00:00:00",17,1018,923,2320
"2008-02-21 00:00:00",21,958,899,2281
"2008-02-22 00:00:00",6,749,866,1886
"2008-02-23 00:00:00",7,592,640,1293
"2008-02-24 00:00:00",13,657,731,1598
"2008-02-25 00:00:00",11,931,823,2420
"2008-02-26 00:00:00",4,912,862,2377
"2008-02-27 00:00:00",8,946,811,2335
"2008-02-28 00:00:00",5,999,845,2236
"2008-02-29 00:00:00",7,844,733,1890
"2008-03-01 00:00:00",8,641,550,1349
"2008-03-02 00:00:00",5,634,574,1502
"2008-03-03 00:00:00",5,674,582,1385
"2008-03-04 00:00:00",10,377,344,842
"2008-03-05 00:00:00",11,942,858,2358
"2008-03-06 00:00:00",11,932,845,2274
"2008-03-07 00:00:00",8,722,725,1868
"2008-03-08 00:00:00",5,628,618,1269
"2008-03-09 00:00:00",7,727,627,1704
"2008-03-10 00:00:00",7,980,842,2401
"2008-03-11 00:00:00",12,910,815,2398
"2008-03-12 00:00:00",9,927,909,2443
"2008-03-13 00:00:00",8,883,760,2218
"2008-03-14 00:00:00",7,780,869,1979
"2008-03-15 00:00:00",5,554,602,1255
"2008-03-16 00:00:00",9,676,657,1600
"2008-03-17 00:00:00",11,873,940,2276
"2008-03-18 00:00:00",5,799,811,2088
"2008-03-19 00:00:00",9,1024,840,2159
"2008-03-20 00:00:00",17,782,707,1943
"2008-03-21 00:00:00",9,501,686,1362
"2008-03-22 00:00:00",7,557,629,1239
"2008-03-23 00:00:00",8,538,611,1282
"2008-03-24 00:00:00",7,784,842,2123
"2008-03-25 00:00:00",13,807,821,2211
"2008-03-26 00:00:00",10,727,840,2347
"2008-03-27 00:00:00",9,698,865,2501
"2008-03-28 00:00:00",9,657,760,2075
"2008-03-29 00:00:00",8,526,633,1367
"2008-03-30 00:00:00",8,632,717,1757
"2008-03-31 00:00:00",11,786,869,2411
"2008-04-01 00:00:00",5,856,955,2436
"2008-04-02 00:00:00",9,758,937,2434
"2008-04-03 00:00:00",11,650,874,2402
"2008-04-04 00:00:00",8,717,798,1951
"2008-04-05 00:00:00",10,551,608,1340
"2008-04-06 00:00:00",5,710,736,1771
"2008-04-07 00:00:00",13,875,864,2640
"2008-04-08 00:00:00",9,859,936,2771
"2008-04-09 00:00:00",8,920,862,2678
"2008-04-10 00:00:00",7,801,819,2649
"2008-04-11 00:00:00",10,802,709,2048
"2008-04-12 00:00:00",4,558,635,1516
"2008-04-13 00:00:00",8,637,806,1962
"2008-04-14 00:00:00",12,933,917,2922
"2008-04-15 00:00:00",13,885,908,2702
"2008-04-16 00:00:00",10,917,868,2706
"2008-04-17 00:00:00",7,903,875,2612
"2008-04-18 00:00:00",22,706,823,1970
"2008-04-19 00:00:00",7,615,630,1429
"2008-04-20 00:00:00",7,703,750,1825
"2008-04-21 00:00:00",25,948,924,2911
"2008-04-22 00:00:00",9,832,983,2796
"2008-04-23 00:00:00",5,754,836,2636
"2008-04-24 00:00:00",6,853,787,2554
"2008-04-25 00:00:00",15,761,840,2215
"2008-04-26 00:00:00",6,515,683,1468
"2008-04-27 00:00:00",7,607,777,1840
"2008-04-28 00:00:00",11,799,936,2681
"2008-04-29 00:00:00",13,872,958,2648
"2008-04-30 00:00:00",17,764,1000,2559
"2008-05-01 00:00:00",10,837,875,2496
"2008-05-02 00:00:00",11,747,798,1877
"2008-05-03 00:00:00",3,606,557,1469
"2008-05-04 00:00:00",7,550,718,1572
"2008-05-05 00:00:00",6,868,916,2536
"2008-05-06 00:00:00",17,932,902,2661
"2008-05-07 00:00:00",15,790,898,2679
"2008-05-08 00:00:00",8,735,712,2444
"2008-05-09 00:00:00",10,758,846,1979
"2008-05-10 00:00:00",10,532,695,1375
"2008-05-11 00:00:00",9,563,660,1584
"2008-05-12 00:00:00",8,722,884,2461
"2008-05-13 00:00:00",18,755,860,2657
"2008-05-14 00:00:00",11,822,815,2399
"2008-05-15 00:00:00",20,781,864,2196
"2008-05-16 00:00:00",4,693,864,1969
"2008-05-17 00:00:00",4,523,658,1349
"2008-05-18 00:00:00",12,577,726,1593
"2008-05-19 00:00:00",20,676,895,2186
"2008-05-20 00:00:00",39,850,890,2484
"2008-05-21 00:00:00",27,734,875,2038
"2008-05-22 00:00:00",39,714,885,2356
"2008-05-23 00:00:00",29,630,763,1716
"2008-05-24 00:00:00",25,464,603,1160
"2008-05-25 00:00:00",24,484,711,1345
"2008-05-26 00:00:00",39,655,777,1767
"2008-05-27 00:00:00",28,717,892,2230
"2008-05-28 00:00:00",43,834,861,2088
"2008-05-29 00:00:00",31,681,856,2035
"2008-05-30 00:00:00",29,599,712,1640
"2008-05-31 00:00:00",23,441,646,1345
"2008-06-01 00:00:00",22,611,698,1468
"2008-06-02 00:00:00",20,784,798,2153
"2008-06-03 00:00:00",19,902,881,1927
"2008-06-04 00:00:00",37,651,838,2112
"2008-06-05 00:00:00",22,748,844,2070
"2008-06-06 00:00:00",31,536,798,1677
